fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
98,SBRN,BERY,9.4,USD,San Bruno,Berryessa/North San Jose
99,SBRN,PCTR,8.45,USD,San Bruno,Pittsburg Center
100,SBRN,ANTC,9.15,USD,San Bruno,Antioch
101,SFIA,SSAN,8.55,USD,San Francisco International Airport,South San Francisco
102,SFIA,SBRN,8.55,USD,San Francisco International Airport,San Bruno
103,SFIA,SFIA,6.4,USD,San Francisco International Airport,San Francisco International Airport
104,SFIA,MLBR,4.95,USD,San Francisco International Airport,Millbrae
105,SFIA,WDUB,12.8,USD,San Francisco International Airport,West Dublin/Pleasanton
106,SFIA,RICH,11.35,USD,San Francisco International Airport,Richmond
107,SFIA,DELN,11.15,USD,San Francisco International Airport,Del Norte
108,SFIA,PLZA,10.95,USD,San Francisco International Airport,El Cerrito Plaza
109,SFIA,NBRK,10.75,USD,San Francisco International Airport,North Berkeley
110,SFIA,DBRK,10.7,USD,San Francisco International Airport,Downtown Berkeley
111,SFIA,ASHB,10.6,USD,San Francisco International Airport,Ashby
112,SFIA,MCAR,10.45,USD,San Francisco International Airport,MacArthur
113,SFIA,19TH,10.35,USD,San Francisco International Airport,19th Street Oakland
114,SFIA,12TH,10.35,USD,San Francisco International Airport,12th Street Oakland
115,SFIA,LAKE,10.35,USD,San Francisco International Airport,Lake Merritt
116,SFIA,FTVL,10.65,USD,San Francisco International Airport,Fruitvale
117,SFIA,COLS,10.85,USD,San Francisco International Airport,Coliseum
118,SFIA,SANL,11.2,USD,San Francisco International Airport,San Leandro
119,SFIA,BAYF,11.45,USD,San Francisco International Airport,Bay Fair
120,SFIA,HAYW,11.75,USD,San Francisco International Airport,Hayward
121,SFIA,SHAY,12.1,USD,San Francisco International Airport,South Hayward
122,SFIA,UCTY,12.65,USD,San Francisco International Airport,Union City
123,SFIA,FRMT,13,USD,San Francisco International Airport,Fremont
124,SFIA,CAST,11.75,USD,San Francisco International Airport,Castro Valley
125,SFIA,DUBL,13,USD,San Francisco International Airport,Dublin/Pleasanton
126,SFIA,PITT,13.45,USD,San Francisco International Airport,Pittsburg/Bay Point
127,SFIA,NCON,12.9,USD,San Francisco International Airport,North Concord/Martinez
128,SFIA,COLM,8.9,USD,San Francisco International Airport,Colma
129,SFIA,CONC,12.65,USD,San Francisco International Airport,Concord
130,SFIA,PHIL,12.2,USD,San Francisco International Airport,Pleasant Hill
131,SFIA,WCRK,12.05,USD,San Francisco International Airport,Walnut Creek
132,SFIA,LAFY,11.65,USD,San Francisco International Airport,Lafayette
133,SFIA,ORIN,11.2,USD,San Francisco International Airport,Orinda
134,SFIA,ROCK,10.6,USD,San Francisco International Airport,Rockridge
135,SFIA,WOAK,10.25,USD,San Francisco International Airport,West Oakland
136,SFIA,EMBR,10,USD,San Francisco International Airport,Embarcadero
137,SFIA,MONT,10,USD,San Francisco International Airport,Montgomery Street
138,SFIA,POWL,10,USD,San Francisco International Airport,Powell Street
139,SFIA,CIVC,10,USD,San Francisco International Airport,Civic Center
140,SFIA,16TH,9.9,USD,San Francisco International Airport,16th Street Mission
141,SFIA,24TH,9.8,USD,San Francisco International Airport,24th Street Mission
