date,date_id,year,month
2014-01-01,20140101,2014,1
2014-01-02,20140102,2014,1
2014-01-03,20140103,2014,1
2014-01-04,20140104,2014,1
2014-01-05,20140105,2014,1
2014-01-06,20140106,2014,1
2014-01-07,20140107,2014,1
2014-01-08,20140108,2014,1
2014-01-09,20140109,2014,1
2014-01-10,20140110,2014,1
2014-01-11,20140111,2014,1
2014-01-12,20140112,2014,1
2014-01-13,20140113,2014,1
2014-01-14,20140114,2014,1
2014-01-15,20140115,2014,1
2014-01-16,20140116,2014,1
2014-01-17,20140117,2014,1
2014-01-18,20140118,2014,1
2014-01-19,20140119,2014,1
2014-01-20,20140120,2014,1
2014-01-21,20140121,2014,1
2014-01-22,20140122,2014,1
2014-01-23,20140123,2014,1
2014-01-24,20140124,2014,1
2014-01-25,20140125,2014,1
2014-01-26,20140126,2014,1
2014-01-27,20140127,2014,1
2014-01-28,20140128,2014,1
2014-01-29,20140129,2014,1
2014-01-30,20140130,2014,1
2014-01-31,20140131,2014,1
2014-02-01,20140201,2014,2
2014-02-02,20140202,2014,2
2014-02-03,20140203,2014,2
2014-02-04,20140204,2014,2
2014-02-05,20140205,2014,2
2014-02-06,20140206,2014,2
2014-02-07,20140207,2014,2
2014-02-08,20140208,2014,2
2014-02-09,20140209,2014,2
2014-02-10,20140210,2014,2
2014-02-11,20140211,2014,2
2014-02-12,20140212,2014,2
2014-02-13,20140213,2014,2
2014-02-14,20140214,2014,2
2014-02-15,20140215,2014,2
2014-02-16,20140216,2014,2
2014-02-17,20140217,2014,2
2014-02-18,20140218,2014,2
2014-02-19,20140219,2014,2
2014-02-20,20140220,2014,2
2014-02-21,20140221,2014,2
2014-02-22,20140222,2014,2
2014-02-23,20140223,2014,2
2014-02-24,20140224,2014,2
2014-02-25,20140225,2014,2
2014-02-26,20140226,2014,2
2014-02-27,20140227,2014,2
2014-02-28,20140228,2014,2
2014-03-01,20140301,2014,3
2014-03-02,20140302,2014,3
2014-03-03,20140303,2014,3
2014-03-04,20140304,2014,3
2014-03-05,20140305,2014,3
2014-03-06,20140306,2014,3
2014-03-07,20140307,2014,3
2014-03-08,20140308,2014,3
2014-03-09,20140309,2014,3
2014-03-10,20140310,2014,3
2014-03-11,20140311,2014,3
2014-03-12,20140312,2014,3
2014-03-13,20140313,2014,3
2014-03-14,20140314,2014,3
2014-03-15,20140315,2014,3
2014-03-16,20140316,2014,3
2014-03-17,20140317,2014,3
2014-03-18,20140318,2014,3
2014-03-19,20140319,2014,3
2014-03-20,20140320,2014,3
2014-03-21,20140321,2014,3
2014-03-22,20140322,2014,3
2014-03-23,20140323,2014,3
2014-03-24,20140324,2014,3
2014-03-25,20140325,2014,3
2014-03-26,20140326,2014,3
2014-03-27,20140327,2014,3
2014-03-28,20140328,2014,3
2014-03-29,20140329,2014,3
2014-03-30,20140330,2014,3
2014-03-31,20140331,2014,3
2014-04-01,20140401,2014,4
2014-04-02,20140402,2014,4
2014-04-03,20140403,2014,4
2014-04-04,20140404,2014,4
2014-04-05,20140405,2014,4
2014-04-06,20140406,2014,4
2014-04-07,20140407,2014,4
2014-04-08,20140408,2014,4
2014-04-09,20140409,2014,4
2014-04-10,20140410,2014,4
2014-04-11,20140411,2014,4
2014-04-12,20140412,2014,4
2014-04-13,20140413,2014,4
2014-04-14,20140414,2014,4
2014-04-15,20140415,2014,4
2014-04-16,20140416,2014,4
2014-04-17,20140417,2014,4
2014-04-18,20140418,2014,4
2014-04-19,20140419,2014,4
2014-04-20,20140420,2014,4
2014-04-21,20140421,2014,4
2014-04-22,20140422,2014,4
2014-04-23,20140423,2014,4
2014-04-24,20140424,2014,4
2014-04-25,20140425,2014,4
2014-04-26,20140426,2014,4
2014-04-27,20140427,2014,4
2014-04-28,20140428,2014,4
2014-04-29,20140429,2014,4
2014-04-30,20140430,2014,4
2014-05-01,20140501,2014,5
2014-05-02,20140502,2014,5
2014-05-03,20140503,2014,5
2014-05-04,20140504,2014,5
2014-05-05,20140505,2014,5
2014-05-06,20140506,2014,5
2014-05-07,20140507,2014,5
2014-05-08,20140508,2014,5
2014-05-09,20140509,2014,5
2014-05-10,20140510,2014,5
2014-05-11,20140511,2014,5
2014-05-12,20140512,2014,5
2014-05-13,20140513,2014,5
2014-05-14,20140514,2014,5
2014-05-15,20140515,2014,5
2014-05-16,20140516,2014,5
2014-05-17,20140517,2014,5
2014-05-18,20140518,2014,5
2014-05-19,20140519,2014,5
2014-05-20,20140520,2014,5
2014-05-21,20140521,2014,5
2014-05-22,20140522,2014,5
2014-05-23,20140523,2014,5
2014-05-24,20140524,2014,5
2014-05-25,20140525,2014,5
2014-05-26,20140526,2014,5
2014-05-27,20140527,2014,5
2014-05-28,20140528,2014,5
2014-05-29,20140529,2014,5
2014-05-30,20140530,2014,5
2014-05-31,20140531,2014,5
2014-06-01,20140601,2014,6
2014-06-02,20140602,2014,6
2014-06-03,20140603,2014,6
2014-06-04,20140604,2014,6
